SampleID	Primers	BarcodeID	Slash_pile_number	Dist_from_edge	Depth_cm
Slashpile1	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel337	1	Forest	5
Slashpile2	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel338	1	Edge	5
Slashpile3	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel339	1	4.5	5
Slashpile4	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel340	1	4.5	20
Slashpile5	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel341	1	15	5
Slashpile6	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel342	1	15	20
Slashpile7	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel343	1	Forest	20
Slashpile8	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel344	2	29	20
Slashpile9	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel345	2	29	5
Slashpile10	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel346	2	15	20
Slashpile11	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel347	2	15	5
Slashpile40	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel348	2	4.5	20
Slashpile13	"16sV1V3, 16sV4V5, ITS12, ITS2, LSU"	Hotel349	2	4.5	5
Slashpile14	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel350	2	Edge	20
Slashpile15	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel351	2	Edge	5
Slashpile16	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel352	2	Forest	20
Slashpile17	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel253	2	Forest	5
Slashpile18	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel354	3	37.5	20
Slashpile19	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel355	3	37.5	5
Slashpile20	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel356	3	15	20
Slashpile21	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel357	3	15	5
Slashpile22	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel358	3	4.5	20
Slashpile23	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel359	3	4.5	5
Slashpile24	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel360	3	Edge	20
Slashpile25	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel365	3	Edge	5
Slashpile26	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel366	3	Forest	20
Slashpile27	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel367	3	Forest	5
Slashpile28	"16sV1V3, 16sV4V5, ITS1, ITS2, LSU"	Hotel368	3	Edge	5
